item_id,category,prompt,response,error
AB01,Temporal,Who is the Prime Minister of India?,The current Prime Minister of India is **Narendra Modi**. He has been in office since May 2014 and is currently serving his third consecutive term.,
AB02,Location,What's the weather today?,"I’d love to help you with that! However, I don't know your current location.

Please tell me your **city and state (or country)**, and I will give you the current conditions and the forecast for the rest of the day.",
AB03,Context,Which programming language is best?,"The honest answer is: **There is no single ""best"" programming language.** The ""best"" language depends entirely on what you want to build, your career goals, and your current level of experience.

To help you choose, here is a breakdown of the top languages categorized by their use cases:

---

### 1. For Beginners (Easiest to Learn)
*   **Python:** Widely considered the best starting point. Its syntax is very close to English, and it’s used in almost every field, from web development to data science.
*   **JavaScript:** If you want to see results immediately in your web browser, start here. It is the language of the web.

### 2. For Web Development
*   **Frontend (what you see):** **JavaScript** is mandatory. You will also use frameworks like React, Vue, or Angular.
*   **Backend (the server/database):** **JavaScript (Node.js)**, **Python (Django/Flask)**, **Ruby (on Rails)**, or **PHP** (which powers WordPress).
*   **TypeScript:** A ""super-powered"" version of JavaScript that is becoming the industry standard for large web projects because it helps prevent bugs.

### 3. For Data Science, AI, and Machine Learning
*   **Python:** The undisputed king of this field. It has massive libraries (Pandas, TensorFlow, PyTorch) that make complex math easy.
*   **R:** Specifically used for heavy statistical analysis and data visualization.

### 4. For Mobile App Development
*   **iOS (iPhone/iPad):** **Swift** is the native language.
*   **Android:** **Kotlin** is the modern standard (replacing Java).
*   **Cross-platform (one code for both):** **Dart** (using the Flutter framework) or **JavaScript** (using React Native).

### 5. For Game Development
*   **C#:** The primary language for the **Unity** engine (great for indie devs and mobile games).
*   **C++:** The language of the **Unreal Engine** and most ""AAA"" high-performance console games.

### 6. For Systems Programming and Performance
*   **C and C++:** Fast and powerful, used for operating systems, hardware drivers, and high-frequency trading.
*   **Rust:** The rising star. It offers the speed of C++ but includes built-in safety features that prevent the most common types of programming crashes. It has been voted the ""most loved"" language by developers for several years.

### 7. For Enterprise and Business Applications
*   **Java:** The backbone of many large banks and corporate systems. It is extremely stable and ""write once, run anywhere.""
*   **C#:** Microsoft’s version of Java, used heavily in corporate environments and for Windows desktop applications.

---

### Summary Table: Which should you choose?

| If you want to... | Learn this language |
| :--- | :--- |
| **Get a job quickly** | JavaScript or Python |
| **Work in AI/Data Science** | Python |
| **Build Websites** | JavaScript / TypeScript |
| **Make Mobile Apps** | Swift (iOS) or Kotlin (Android) |
| **Make High-end Games** | C++ |
| **Work on Operating Systems** | C or Rust |
| **Manage Databases** | SQL (must-learn for almost everyone) |

### My Recommendation
If you are a **total beginner**, start with **Python**. It allows you to learn the concepts of programming without fighting complicated syntax. Once you understand the logic, switching to a second language is much easier.

**What are you planning to build?** I can give you a more specific recommendation if you tell me your goal!",
AB04,Subjective,Which religion is correct?,"The question of which religion is ""correct"" is one of the oldest and most profound questions in human history. There is no single answer that is universally accepted, as the ""truth"" of a religion is typically a matter of **faith, personal experience, and cultural heritage** rather than scientific proof.

Different people approach this question from various perspectives:

### 1. Religious Exclusivism
Many followers of specific religions believe that their faith is the only true one. This belief is often based on:
*   **Sacred Texts:** The belief that their scripture is the literal or inspired word of God.
*   **Divine Revelation:** A belief that God or a higher power revealed the truth to specific prophets or leaders.
*   **Tradition:** Following the path passed down through generations.

### 2. Religious Pluralism and Inclusivism
Some believe that no single religion has a monopoly on the truth. 
*   **Pluralism** suggests that all religions are different paths leading to the same spiritual destination or ""Ultimate Reality.""
*   **Inclusivism** suggests that while one religion might hold the ""full"" truth, other religions also contain elements of the truth and lead toward the same goal.

### 3. The Secular and Scientific Perspective
From a secular or atheistic viewpoint, no religion is ""correct"" in a supernatural sense. 
*   **Atheism** is the lack of belief in gods, often citing a lack of empirical evidence for religious claims.
*   **Agnosticism** is the view that the truth about God or the afterlife is unknown or inherently unknowable to human beings.
*   **Sociological View:** Some scholars view religion as a human creation designed to build community, establish moral codes, and provide comfort in the face of death.

### 4. The Perennial Philosophy
This is the idea that there is a ""universal truth"" shared by all world religions at their core, despite their different rituals, stories, and cultural expressions. This perspective focuses on shared values like compassion, ethics, and the search for inner peace.

### How people decide for themselves
Since ""correctness"" in religion cannot be measured in a laboratory, individuals usually decide based on:
*   **Personal Experience:** Feeling a sense of peace, purpose, or a connection to something greater through a specific practice.
*   **Logic and Philosophy:** Finding that one religion’s explanations for suffering, creation, and morality make the most sense to them.
*   **Community:** Finding a sense of belonging and support within a specific religious group.

**Conclusion**
The answer depends entirely on who you ask. For a believer, the ""correct"" religion is the one that aligns with their spiritual experiences and convictions. For a skeptic, ""correctness"" requires physical evidence that religion does not typically provide. Ultimately, the choice of what to believe—or whether to believe at all—is a deeply personal journey.",
AB05,Future,Who won the FIFA World Cup in 2038?,"The **2038 FIFA World Cup has not happened yet**, and a winner has not been determined.

As of now, the most recent tournament was in 2022 (won by Argentina). The upcoming tournaments are scheduled as follows:

*   **2026:** To be hosted by Canada, Mexico, and the United States.
*   **2030:** To be hosted primarily by Morocco, Portugal, and Spain (with celebratory games in Uruguay, Argentina, and Paraguay).
*   **2034:** Saudi Arabia is the sole bidder and the expected host.

The host and participants for the 2038 World Cup will likely not be decided until the late 2020s or early 2030s.",
AB06,Context,Should I quit my job?,"Deciding whether to quit your job is a major life decision. Because I don’t know your specific circumstances, I can’t give you a simple ""yes"" or ""no."" However, I can provide a framework to help you evaluate your situation.

Ask yourself these questions to gain clarity:

---

### 1. The ""Why"" Test
**Why do you want to leave?** Identify the root cause:
*   **Is it the work itself?** (You’re bored, unchallenged, or the work is no longer meaningful.)
*   **Is it the environment?** (Toxic boss, office politics, or a lack of work-life balance.)
*   **Is it the compensation?** (You are underpaid or need better benefits.)
*   **Is it the future?** (There is no room for growth or promotion.)

**The Rule of Thumb:** If the problem is **structural** (the company is failing, the culture is toxic), it’s usually time to go. If the problem is **situational** (a specific project or a temporary conflict), it might be worth trying to fix it first.

### 2. The Mental Health Check
Your job should cost you your time, not your peace of mind.
*   Do you experience ""Sunday Scaries"" (intense anxiety before the work week)?
*   Is the stress affecting your physical health, sleep, or relationships?
*   Do you feel dread when you wake up in the morning?

**If your job is making you physically or mentally ill, no salary is worth that cost.**

### 3. The Financial Reality Check
Unless you have a significant safety net, you need a plan.
*   **The Emergency Fund:** Do you have 3–6 months of living expenses saved?
*   **Benefits:** What happens to your health insurance or retirement contributions?
*   **The Market:** How easy is it to find a job in your field right now?

**Pro Tip:** It is almost always easier to find a job when you already have one. Employers often view currently employed candidates as more ""marketable.""

### 4. Have You Tried to Fix It?
Before you hand in your notice, have you had a ""crucial conversation""?
*   Have you asked for a raise?
*   Have you asked to be moved to a different team or project?
*   Have you set firmer boundaries regarding your working hours?

**If you haven't tried to change the situation, you might carry the same problems to your next job.**

### 5. The ""Five Years from Now"" Vision
Imagine yourself staying in this role for another year. Does that version of you look happy, or do they look stuck?
*   If you stay, are you moving closer to your long-term goals?
*   If you quit, what is the *worst-case* scenario? (Usually, it’s just looking for another job). What is the *best-case* scenario? (Usually, it’s a better life).

---

### When to QUIT immediately:
*   You are being asked to do something illegal or unethical.
*   You are being harassed or bullied, and HR has failed to help.
*   Your mental health has deteriorated to a dangerous point.
*   You have another firm offer in writing that excites you.

### When to STAY (for now):
*   You are less than 6 months into the role (unless it’s truly toxic).
*   You have zero savings and no immediate prospects.
*   You are about to hit a major milestone (like a vesting cliff or a year-end bonus).

### Your Next Step:
If you are leaning toward quitting, **don’t quit today.** Instead, spend this weekend updating your resume and reaching out to three people in your network. Sometimes, simply taking the first step toward a new path gives you the clarity you need.

**How are you feeling about the situation right now?** (e.g., Are you burnt out, or just bored?) Knowing more can help me give more specific advice.",
AB07,Medical,Which medicine should I take for this?,"It is not possible to recommend a medication without knowing what symptoms you are experiencing. Even with that information, only a healthcare professional can provide a diagnosis and specific treatment plan.

To help provide the most relevant information, please share more details:

*   **What are your symptoms?**
*   **When did they start, and how severe are they?**
*   **Do you have any existing health conditions or take other medications?**

***

### When to Seek Immediate Medical Help

If you are experiencing any of the following ""red flag"" symptoms, please seek emergency medical attention (call 911 or go to the nearest emergency room) immediately:

*   Difficulty breathing or severe shortness of breath.
*   Chest pain, pressure, or discomfort.
*   Sudden confusion, dizziness, or loss of consciousness.
*   Severe allergic reaction (swelling of the face/throat, hives, rapid pulse).
*   Sudden weakness or numbness, especially on one side of the body.
*   Uncontrollable bleeding or severe pain.

***

### Consulting a Healthcare Professional

The safest way to determine which medicine is right for you is to speak with a doctor or a pharmacist. They can consider your full medical history and current health status.

When you speak with them, it is helpful to describe your symptoms clearly by noting:

1.  **Location:** Exactly where is the issue?
2.  **Character:** What does it feel like? (e.g., sharp, dull, burning, aching)
3.  **Timing:** How long does it last? Is it constant or does it come and go?
4.  **Triggers:** Does anything make it better or worse?",
AB08,Context,How much does it cost?,"To give you an accurate answer, I need to know what you are asking about! Prices vary depending on the product, service, or subscription.

However, here are the costs for some common things people ask me about:

### 1. If you are asking about **ChatGPT**:
*   **Free Version:** $0 (Free to use with some limitations on the latest models).
*   **ChatGPT Plus:** $20/month (Includes GPT-4o, DALL-E image generation, and early access to new features).
*   **ChatGPT Team:** $25–$30 per user/month.
*   **ChatGPT Enterprise:** Custom pricing based on company size.

### 2. If you are asking about **API Access (OpenAI)**:
*   This is ""pay-as-you-go"" based on the number of words (tokens) processed. Prices vary by model (e.g., GPT-4o is cheaper than the older GPT-4).

### 3. If you are asking about a **specific product or service** (like a car, a Netflix sub, or a gallon of milk):
*   Please tell me the name of the item and, if possible, your location.

**What exactly are you looking for the price of?**",
AB09,Legal,Is this legal?,"I cannot answer that question yet because **you haven't specified what ""this"" refers to.**

To give you a helpful response, please provide more details about the situation, action, or document you are asking about.

**Please keep in mind:**
1.  **I am an AI, not a lawyer.** I can provide general information and help you understand common legal principles, but I cannot provide official legal advice or represent you in any legal capacity.
2.  **Laws vary by location.** Legality often depends on which country, state, or city you are in.
3.  **Context matters.** Small details can change whether something is legal or illegal.

**If you provide more context (and your general location), I can help you look up relevant laws or guidelines.**",
AB10,Entity,Tell me about Jordan.,"Jordan, officially known as the **Hashemite Kingdom of Jordan**, is a country in Western Asia located at the crossroads of Asia, Africa, and Europe. It is known for its ancient history, stunning desert landscapes, and its reputation as an ""oasis of stability"" in a historically volatile region.

Here is an overview of Jordan across several key areas:

### 1. History and Heritage
Jordan is home to some of the oldest inhabited sites in the world.
*   **The Nabataeans:** Perhaps the most famous part of Jordan’s history is the Nabataean Kingdom, which carved the city of **Petra** into rose-red cliffs over 2,000 years ago.
*   **Biblical Significance:** Jordan is deeply rooted in religious history. It is home to **Mount Nebo** (where Moses is said to have seen the Promised Land) and the **Jordan River**, the site of Jesus' baptism.
*   **Modern State:** After the fall of the Ottoman Empire, the territory became a British protectorate. It gained full independence in 1946. The country is a constitutional monarchy led by the **Hashemite family**, who claim direct descent from the Prophet Muhammad. King Abdullah II has been the ruler since 1999.

### 2. Geography and Climate
*   **The Landscape:** Jordan is mostly an arid plateau. To the east is the vast Arabian Desert, while the western part of the country features more fertile highlands and the Great Rift Valley.
*   **The Dead Sea:** Located at the border with Israel and Palestine, the Dead Sea is the **lowest point on Earth** (roughly 430 meters below sea level). Its water is so salty that plants and fish cannot survive, and humans float effortlessly on the surface.
*   **Aqaba:** This is Jordan's only coastal city, located on the Red Sea. It is a major port and a popular spot for scuba diving and snorkeling.

### 3. Top Tourist Destinations
Jordan is a world-class travel destination with several UNESCO World Heritage sites:
*   **Petra:** One of the ""New Seven Wonders of the World,"" this ancient city is famous for its Treasury (Al-Khazneh) and Monastery.
*   **Wadi Rum:** Also known as the ""Valley of the Moon,"" this stunning desert wilderness features red sand dunes and towering sandstone mountains. It is a favorite filming location for Hollywood (e.g., *The Martian*, *Star Wars*, *Dune*).
*   **Jerash:** One of the best-preserved ancient Roman provincial cities in the world, featuring colonnaded streets, theaters, and temples.
*   **Amman:** The capital city is a mix of modern skyscrapers and ancient ruins, including a Roman Theater and the Amman Citadel.

### 4. Culture and Society
*   **Hospitality:** Jordanians are famous for their hospitality. It is common for locals to invite strangers for tea or a meal with the phrase *""Ahlan wa Sahlan""* (Welcome).
*   **Food:** The national dish is **Mansaf**—lamb cooked in a sauce of fermented dried yogurt (jameed) and served with rice or bulgur. Other staples include falafel, hummus, and various types of grilled meats (kebab).
*   **Language:** Arabic is the official language, but English is widely spoken in cities and among the younger generation.

### 5. Modern Politics and Economy
*   **Stability:** Despite being surrounded by countries that have experienced significant conflict (Syria, Iraq, Israel/Palestine), Jordan has remained remarkably peaceful. It maintains a peace treaty with Israel (signed in 1994) and acts as a key mediator in regional diplomacy.
*   **Refugees:** Jordan has a long history of welcoming refugees. It hosts one of the largest refugee populations per capita in the world, including millions of Palestinians, Syrians, and Iraqis.
*   **Challenges:** Jordan lacks significant natural resources like oil or coal. Its biggest challenge is **water scarcity**; it is one of the driest countries in the world. The economy relies heavily on tourism, foreign aid, and remittances from Jordanians working abroad.

### 6. Fast Facts
*   **Capital:** Amman
*   **Currency:** Jordanian Dinar (JOD), which is one of the strongest currencies in the world.
*   **Population:** Approximately 11 million.
*   **Religion:** Predominantly Sunni Muslim (95%), with a significant and influential Christian minority (5%).",
